COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
AECOM,260,-71,14112,173,51000,Engineering & Construction,Dallas,TX,no,no,no,yes,189,W. Troy Rudd,https://www.aecom.com,ACM,10857,W. Troy Rudd,,,,,,,,,,University of British Columbia,Taxation,Golden Gate University,no,no,11/1/2020,no,,,,,,,
Reliance Steel & Aluminum,261,82,14093,1413,13950,Materials,Los Angeles,CA,no,no,no,yes,343,James D. Hoffman,https://www.rsac.com,RS,11314,James D. Hoffman,,,,,,,,,Marketing,West Virginia University,no,no,no,no,11/1/2019,no,,,,,,,
Jacobs Engineering Group,262,-37,14093,477,53500,Engineering & Construction,Dallas,TX,no,no,no,yes,225,Steven J. Demetriou,https://www.jacobs.com,J,17807,Steven J. Demetriou,1/1/1959,1/1/2023,11/1/1959,"MMDD missing, default to 1/1",,,MA,TX,Chemical Engineering,Tufts University,no,no,no,no,11/1/2015,yes,,,,,,64,56
Corning,263,14,14082,1906,61200,Industrials,Corning,NY,no,no,no,yes,277,Wendell P. Weeks,https://www.corning.com,GLW,31213,Wendell P. Weeks,,,,,Reno,NV,PA,,Accounting,Lehigh University,MBA,Harvard,no,no,11/1/2005,no,,,,,,,
Farmers Insurance Exchange,264,-8,14055,-367,11787,Financials,Woodland Hills,CA,no,no,no,no,256,Jeffrey J. Dailey,https://www.farmers.com,,,Jeffrey J. Dailey,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",,,,,Economics,University of Wisconsin-Madison,MBA,University of Wisconsin-Madison,no,no,11/1/2012,yes via merger,,,,,,66,55
Qurate Retail,265,-49,14044,340,26745,Retailing,Englewood,CO,no,no,no,yes,216,David L. Rawlinson II,https://www.qurateretail.com,QRTEA,1807,David L. Rawlinson II,1/1/1976,1/1/2023,11/1/1976,"MMDD missing, default to 1/1",Columbia,SC,SC,,Political Science,The Citadel,MBA,Harvard,no,no,11/1/2021,yes,JD,University of South Carolina,,,,47,45
Rite Aid,148,-16,24043,-91,50000,Food & Drug Stores,Camp Hill,PA,no,no,yes,no,132,Heyward Donigan,https://www.riteaid.com,RAD,488,Heyward Donigan,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",Port Chester,NY,NY,,English,University of Virginia,MPA,NYU,no,no,11/1/2019,yes,,,,,,63,59
Cummins,149,1,24021,2131,59900,Industrials,Columbus,IN,no,no,yes,yes,150,Jennifer Rumsey,https://www.cummins.com,CMI,29141,Jennifer Rumsey,,,,,,IN,IN,IN,Mechanical Engineering,Purdue,Mechanical Engineering,MIT,no,no,11/1/2022,no,,,,,,,
U.S. Bancorp,150,-37,23714,7963,68796,Financials,Minneapolis,MN,no,no,no,yes,113,Andrew J. Cecere,https://www.usbank.com,USB,78930,Andrew J. Cecere,7/24/1960,,,,,,IL,MN,Business Administration and Finance,University of St. Thomas,MBA,University of Minnesota,no,no,11/1/2018,no,,,,,,,
Paccar,151,8,23522,1852,28500,Motor Vehicles & Parts,Bellevue,WA,no,no,no,yes,159,R. Preston Feight,https://www.paccar.com,PCAR,29101,R. Preston Feight,,,,,,,,,Mechanical Engineering,Northern Arizona University,Engineering Management,"University of Colorado, Denver",no,no,11/1/2019,no,,,,,,,
McDonald's,152,5,23223,7545,200000,"Hotels, Restaurants & Leisure",Chicago,IL,no,no,no,yes,157,Christopher J. Kempczinski,https://www.investor.mcdonalds.com,MCD,183874,Christopher J. Kempczinski,9/26/1968,,,,Boston,MA,OH,IL,,Duke,MBA,Harvard,no,no,11/1/2019,"yes, of internal subsidiary",,,,,,,
Southern,153,-7,23113,2393,27164,Energy,Atlanta,GA,no,no,no,yes,146,Thomas A. Fanning,https://www.southerncompany.com,SO,76877,Thomas A. Fanning,3/12/1957,3/12/2023,11/1/1957,,Morristown,NJ,GA,GA,Engineering and Industrial Management,Georgia Tech,Engineering and Industrial Management,Georgia Tech,no,no,11/1/2010,"yes, of internal subsidiary",,,,,Pisces,66,53
C.H. Robinson Worldwide,154,37,23102,844,16877,Transportation,Eden Prairie,MN,no,no,no,yes,191,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,CHRW,13856,Robert C. Biesterfeld Jr.,,,,,,,MN,MN,Marketing,Winona State University,no,no,no,no,11/1/2019,no,,,,,,,
Truist Financial,155,-36,23064,6440,51462,Financials,Charlotte,NC,no,no,no,yes,119,William H. Rogers Jr.,https://www.truist.com,TFC,75354,William H. Rogers Jr.,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",,,NC,NC,Business Administration,"University of North Carolina, Chapel Hill",MBA,Georgia State,no,no,11/1/2021,yes,,,,,,63,61
Applied Materials,156,20,23063,5888,27000,Technology,Santa Clara,CA,no,no,no,yes,176,Gary E. Dickerson,https://www.appliedmaterials.com,AMAT,116431,Gary E. Dickerson,1/1/1956,1/1/2023,11/1/1956,"MMDD missing, default to 1/1",,,,,Engineering Management,"University of Missouri, Rolla",MBA,"University of Missouri, Kansas City",no,no,11/1/2013,yes,,,,,,67,57
Freeport-McMoRan,157,58,22845,4306,24700,Energy,Phoenix,AZ,no,no,no,yes,215,Richard C. Adkerson,https://www.fcx.com,FCX,72361,Richard C. Adkerson,1/1/1947,1/1/2023,11/1/1947,"MMDD missing, default to 1/1",,TN,,AZ,Accounting,Mississippi State University,MBA,Mississippi State University,no,no,11/1/2003,no,Advanced Management,Harvard,,,,76,56
Lithia Motors,158,73,22832,1060,21150,Retailing,Medford,OR,no,no,no,yes,231,Bryan DeBoer,https://www.lithiainvestorrelations.com,LAD,5678,Bryan DeBoer,,,,,,OR,OR,OR,Business Administration,Southern Oregon University,no,no,no,no,11/1/2012,no,,,,,,,
Blackstone,159,295,22577,5857,3795,Financials,New York,NY,no,yes,no,yes,454,Stephen A. Schwarzman,https://www.blackstone.com,BX,88907,Stephen A. Schwarzman,2/14/1947,2/14/2023,11/1/1947,,Philadelphia,PA,PA,NY,Social Sciences,Yale,MBA,Harvard,no,no,11/1/1985,founder,,,,,Aquarius,76,38
Hartford Financial Services Group,160,-18,22390,2365,18100,Financials,Hartford,CT,no,no,no,yes,142,Christopher J. Swift,https://www.thehartford.com,HIG,23816,Christopher J. Swift,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,,CT,Accounting,Marquette University,no,no,no,no,11/1/2014,no,,,,,,62,53
Aflac,161,-30,22106,4325,12447,Financials,Columbus,GA,no,no,no,yes,131,Daniel P. Amos,https://www.aflac.com,AFL,41813,Daniel P. Amos,8/13/1951,8/13/2023,11/1/1951,,Pensacola,FL,,GA,Insurance and Risk Management,University of Georgia,MBA,Emory,no,no,11/1/1990,no,,,,,Leo,72,39
Motorola Solutions,423,-28,8171,1245,18700,Technology,Chicago,IL,no,no,no,yes,395,Gregory Q. Brown,https://www.motorolasolutions.com,MSI,40556,Gregory Q. Brown,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",New Brunswick,NJ,NJ,IL,Economics,Rutgers University,no,no,honorary,no,11/1/2008,yes,,,,,,63,48
Zillow Group,424,0,8147,-528,8005,Technology,Seattle,WA,yes,yes,no,no,,Richard N. Barton,https://www.zillowgroup.com,ZG,12287,Richard N. Barton,6/2/1967,6/2/2023,11/1/1967,,New Canaan,CT,CT,WA,Engineering,Stanford,no,no,no,no,11/1/2006,founder,,,,,Gemini,56,39
Opendoor Technologies,425,0,8021,-662,2816,Technology,San Francisco,CA,yes,yes,no,no,,Eric Wu,https://www.opendoor.com,OPEN,5364,Eric Wu,1/1/1983,1/1/2023,11/1/1983,"MMDD missing, default to 1/1",Glendale,AZ,AZ,CA,Economics,University of Arizona,no,no,no,no,11/1/2014,founder,,,,,,40,31
J.M. Smucker,426,-48,8003,876,7100,"Food, Beverages & Tobacco",Orrville,OH,no,no,no,yes,378,Mark T. Smucker,https://www.jmsmucker.com,SJM,14686,Mark T. Smucker,12/30/1969,12/30/2023,11/1/1969,,,,OH,OH,Geology,College of William and Mary,MBA,Arizona State University,no,no,11/1/2016,no,,,,,Capricorn,54,47
Anywhere Real Estate,427,18,7983,343,9748,Financials,Madison,NJ,no,no,no,yes,445,Ryan M. Schneider,https://www.realogy.com,HOUS,1852,Ryan M. Schneider,10/22/1969,10/22/2023,11/1/1969,,,,,,Economics,Williams College,,,yes,no,11/1/2017,no,,,,,Libra,54,48
Oshkosh,428,-6,7953,409,15000,Industrials,Oshkosh,WI,no,no,no,yes,422,John C. Pfeifer,https://www.oshkoshcorp.com,OSK,6704,John C. Pfeifer,,,,,,,,,Economics,"University of Michigan, Ann Arbor",no,no,no,no,11/1/2021,no,,,,,,,
MasTec,429,12,7952,329,27000,Engineering & Construction,Coral Gables,FL,no,no,no,yes,441,Jose R. Mas,https://www.mastec.com,MTZ,6657,Jose R. Mas,,,,,,,FL,FL,Business Administration,University of Miami,MBA,University of Miami,no,no,11/1/2007,no,,,,,,,
GXO Logistics,430,0,7940,153,97500,Transportation,Greenwich,CT,yes,no,no,yes,,Malcolm Wilson,https://www.gxo.com,GXO,8193,Malcolm Wilson,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,,,,University of Manchester,no,no,no,no,11/1/2021,"yes, at external subsidiary",,,,,,65,63
APA,431,0,7928,973,2253,Energy,Houston,TX,yes,no,no,yes,,John J. Christmann IV,https://www.apacorp.com,APA,14332,John J. Christmann IV,1/1/1967,1/1/2023,11/1/1967,"MMDD missing, default to 1/1",Lubbock,TX,TX,,Petroleum Engineering,Colorado School of Mines,MBA,Southern Methodist University,no,no,11/1/2015,no,,,,,,56,48
Boise Cascade,432,61,7926,713,6130,Wholesalers,Boise,ID,no,no,no,yes,493,Nathan Jorgensen,https://www.bc.com,BCC,2405,Nathan Jorgensen,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,,,,Engineering,University of Wisconsin-Madison,Advanced Management,Dartmouth,no,no,11/1/2015,no,,,,,,58,50
Dover,433,-4,7907,1124,25000,Industrials,Downers Grove,IL,no,no,no,yes,429,Richard J. Tobin,https://www.dovercorporation.com,DOV,22610,Richard J. Tobin,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,,,,,Norwich University,MBA,Drexel,no,no,11/1/2018,yes,,,,,,60,55
Genworth Financial,434,-86,7882,904,2500,Financials,Richmond,VA,no,no,no,yes,348,Thomas J. McInerney,https://www.genworth.com,GNW,1918,Thomas J. McInerney,,,,,,,,,Economics,Colgate University,MBA,Dartmouth,no,no,11/1/2013,"yes, at external subsidiary",,,,,,,
Bath & Body Works,435,-178,7882,1334,32850,Retailing,Columbus,OH,no,no,yes,yes,257,Sarah E. Nash,https://www.bbwinc.com,BBWI,11420,Sarah E. Nash,,,,,,,,,Political Science,Vassar College,no,no,no,no,11/1/2022,yes,,,,,,,
Booz Allen Hamilton Holding,436,-45,7859,609,27700,Technology,McLean,VA,no,no,no,yes,391,Horacio D. Rozanski,https://www.boozallen.com,BAH,11705,Horacio D. Rozanski,1/1/1968,1/1/2023,11/1/1968,"MMDD missing, default to 1/1",,Argentina,Argentina,VA,Business Administration,University of Wisconsin-Eau Claire,MBA,University of Chicago,no,no,11/1/2015,no,,,,,,55,47
Coinbase Global,437,0,7839,3624,3730,Financials,Wilmington,DE,yes,yes,no,yes,,Brian Armstrong,https://www.coinbase.com,COIN,41670,Brian Armstrong,1/25/1983,1/25/2023,11/1/1983,,San Jose,CA,CA,CA,"Economics, Computer Science",Rice University,Computer Science,Rice University,no,no,11/1/2012,founder,,,,,Aquarius,40,29
Zimmer Biomet Holdings,438,-24,7836,402,19500,Health Care,Warsaw,IN,no,no,no,yes,414,Bryan C. Hanson,https://www.zimmerbiomet.com,ZBH,26772,Bryan C. Hanson,,,,,,,,,Finance,Florida State University,Advanced Management,Northwestern,no,no,11/1/2017,no,Advanced Management,Harvard,,,,,
Westinghouse Air Brake Technologies,439,-55,7822,558,25000,Industrials,Pittsburgh,PA,no,no,no,yes,384,Rafael O. Santana,https://www.wabteccorp.com,WAB,17819,Rafael O. Santana,,,,,,Brazil,Brazil,,Engineering,Universidade Federal de Minas Gerais in Brazil,no,no,no,no,11/1/2019,"yes, at external subsidiary",,,,,,,
Zoetis,440,-9,7776,2037,12100,Health Care,Parsippany,NJ,no,no,yes,yes,431,Kristin Peck,https://www.zoetis.com,ZTS,69420,Kristin Peck,,,,,,,NY,CT,History and Spanish,Georgetown University,MBA,Columbia,no,no,11/1/2020,no,,,,,,,
Packaging Corp. of America,441,-8,7730,841,15200,Materials,Lake Forest,IL,no,no,no,yes,433,Mark W. Kowlzan,https://www.packagingcorp.com,PKG,14628,Mark W. Kowlzan,,,,,,MA,MA,IL,Natural Science,Assumption College,Pulp and Paper Engineering,UMass Lowell,no,no,11/1/2010,no,MBA,"University of Louisiana, Monroe",,,,,
LPL Financial Holdings,442,24,7721,460,5919,Financials,San Diego,CA,no,no,no,yes,466,Dan H. Arnold,https://www.lpl.com,LPLA,14609,Dan H. Arnold,,,,,,,,CA,Electrical Engineering,Auburn University,MBA,Georgia State,no,no,11/1/2017,no,,,,,,,
T. Rowe Price,443,4,7672,3083,7529,Financials,Baltimore,MD,no,no,no,yes,447,Robert W. Sharps,https://www.troweprice.com,TROW,34443,Robert W. Sharps,,,,,,MD,MD,MD,Accounting,Towson University,MBA,UPenn,no,no,11/1/2022,no,,,,,,,
Fortune Brands Home & Security,444,12,7656,772,28056,Household Products,Deerfield,IL,no,no,no,yes,456,Nicholas I. Fink,https://www.fbhs.com,FBHS,9831,Nicholas I. Fink,,,,,,,,,,Georgetown University,JD,Northwestern,no,no,11/1/2020,no,,,,,,,
Casey's General Stores,445,-74,7654,313,27583,Retailing,Ankeny,IA,no,no,no,yes,371,Darren M. Rebelez,https://www.caseys.com,CASY,7354,Darren M. Rebelez,,,,,,,CA,IA,Foreign Area Studies,United States Military Academy,MBA,University of Houston,no,no,11/1/2019,no,,,,,,,
A-Mark Precious Metals,446,49,7613,160,347,Wholesalers,El Segundo,CA,no,no,no,yes,495,Gregory N. Roberts,https://www.amark.com,AMRK,891,Gregory N. Roberts,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",,,,,,,,,no,no,11/1/2005,yes,,,,,,61,43
Hess,447,0,7583,559,1545,Energy,New York,NY,yes,no,no,yes,,John B. Hess,https://www.hess.com,HES,33155,John B. Hess,4/5/1954,4/5/2023,11/1/1954,,,,,NY,,Harvard,MBA,Harvard,no,no,11/1/1995,no,,,,,Aries,69,41
Vertex Pharmaceuticals,448,0,7574,2342,3900,Health Care,Boston,MA,no,no,yes,yes,448,Reshma Kewalramani,https://www.vrtx.com,VRTX,66437,Reshma Kewalramani,1/1/1973,1/1/2023,11/1/1973,"MMDD missing, default to 1/1",Bombay,India,,MA,Medicine,Boston University,MD,Boston University,Dr,no,11/1/2020,no,Advanced Management,Harvard,,,,50,47
KeyCorp,449,-53,7561,2625,16974,Financials,Cleveland,OH,no,no,no,yes,396,Christopher M. Gorman,https://www.key.com,KEY,20593,Christopher M. Gorman,,,,,,,,OH,Finance,Miami University,no,no,no,no,11/1/2020,"yes, of internal subsidiary",,,,,,,
Chipotle,450,14,7547,653,97660,"Hotels, Restaurants & Leisure",Newport Beach,CA,no,no,no,yes,464,Brian Niccol,https://www.chipotle.com,CMG,41724,Brian Niccol,1/1/1974,1/1/2023,11/1/1974,"MMDD missing, default to 1/1",,,,CA,Engineering,Miami University,MBA,University of Chicago,no,no,11/1/2018,yes,,,,,,49,44
CMS Energy,451,-21,7538,1353,8813,Energy,Jackson,MI,no,no,no,yes,430,Garrick J. Rochow,https://www.cmsenergy.com,CMS,20292,Garrick J. Rochow,,,,,,,MI,MI,Environmental Engineering,Michigan Technological University,MBA,Western Michigan University,no,no,11/1/2020,no,Advanced Management,University of Wisconsin-Madison,,,,,
Arconic,452,24,7504,-397,13900,Materials,Pittsburgh,PA,no,no,no,no,476,Timothy D. Myers,https://www.arconic.com,ARNC,2691,Timothy D. Myers,,,,,,,,,Mechanical Engineering,"University of Michigan, Ann Arbor",MBA,"University of Michigan, Ann Arbor",no,no,11/1/2020,no,,,,,,,
Taylor Morrison Home,453,-1,7501,663,3000,Engineering & Construction,Scottsdale,AZ,no,no,yes,yes,452,Sheryl D. Palmer,https://www.taylormorrison.com,TMHC,3302,Sheryl D. Palmer,,,,,Los Angeles,CA,,AZ,Special Education,San Diego State University,no,no,no,no,11/1/2007,no,,,,,,,
American Financial Group,454,-78,7462,1995,6600,Financials,Cincinnati,OH,no,no,no,yes,376,Carl H. Lindner lll,https://www.afginc.com,AFG,12368,Carl H. Lindner lll,1/1/1953,1/1/2023,11/1/1953,"MMDD missing, default to 1/1",Cincinnati,OH,OH,OH,Business Administration,University of Cincinnati,no,no,honorary,no,11/1/2005,no,,,,,,70,52
American Financial Group,454,-78,7462,1995,6600,Financials,Cincinnati,OH,no,no,no,yes,376,S. Craig Lindner,https://www.afginc.com,AFG,12368,S. Craig Lindner,1/1/1955,1/1/2023,11/1/1955,"MMDD missing, default to 1/1",,OH,OH,OH,Finance,University of Cincinnati,no,no,honorary,no,11/1/2005,"yes, of internal subsidiary",,,,,,68,50
UGI,455,-19,7447,1467,11300,Energy,King of Prussia,PA,no,no,no,yes,436,Roger Perreault,https://www.ugicorp.com,UGI,7599,Roger Perreault,,,,,,Canada,Canada,,Chemical Engineering,Ryerson University,MBA,McGill University,no,no,11/1/2021,no,Advanced Management,INSEAD,,,,,
Science Applications International,456,-44,7394,277,25090,Technology,Reston,VA,no,no,yes,yes,412,Nazzic S. Keene,https://www.saic.com,SAIC,5166,Nazzic S. Keene,,,,,Tripoli,Lybia,AZ,,Management Information Systems,University of Arizona,no,no,no,no,11/1/2019,no,,,,,,,
Avantor,457,-19,7386,573,13500,Technology,Radnor,PA,no,no,no,yes,438,Michael Stubblefield,https://www.avantorsciences.com,AVTR,20629,Michael Stubblefield,1/1/1973,1/1/2023,11/1/1973,"MMDD missing, default to 1/1",,,TX,,Chemical Engineering,University of Utah,MBA,Texas A&M,no,no,11/1/2014,no,,,,,,50,41
Hanesbrands,458,-26,7348,77,58000,Apparel,Winston-Salem,NC,no,no,no,yes,432,Stephen B. Bratspies,https://www.hanes.com,HBI,5191,Stephen B. Bratspies,,,,,,,,,Economics,Franklin & Marshall College,MBA,UPenn,no,no,11/1/2020,no,,,,,,,
Clorox,459,-32,7341,710,9000,Household Products,Oakland,CA,no,no,yes,yes,427,Linda Rendle,https://www.thecloroxcompany.com,CLX,17109,Linda Rendle,,,,,,,,CA,Economics,Harvard,Advanced Management,Stanford,no,no,11/1/2020,no,,,,,,,
KBR,460,10,7339,18,28000,Engineering & Construction,Houston,TX,no,no,no,yes,470,Stuart J.B. Bradie,https://www.kbr.com,KBR,7635,Stuart J.B. Bradie,8/27/1966,8/27/2023,11/1/1966,,Irvine,United Kingdom,Scotland,TX,Mechanical Engineering,Aberdeen University,MBA,Heriot-Watt University,no,no,11/1/2014,no,,,,,Virgo,57,48
General Electric,48,-10,74196,-6520,168000,Industrials,Boston,MA,no,no,no,no,38,H. Lawrence Culp Jr.,www.ge.com,GE,73458,H. Lawrence Culp Jr.,3/1/1963,3/1/2023,11/1/1963,,Washington,DC,DC,MA,Economics,Washington College,MBA,Harvard,no,no,11/1/2018,yes,,,,,Pisces,60,55
IBM,49,-7,72344,5743,297800,Technology,Armonk,NY,no,no,no,yes,42,Arvind Krishna,https://www.ibm.com,IBM,107307,Arvind Krishna,2/1/1962,2/1/2023,11/1/1962,,West Godavari,India,India,,Electrical Engineering,IIT Kanpur,Electrical Engineering and Computer Science,"University of Illinois, Urbana-Champaign",yes,no,11/1/2020,no,,,,,Aquarius,61,58
MetLife,50,-4,71080,6554,43000,Financials,New York,NY,no,no,no,yes,46,Michel A. Khalaf,www.metlife.com,MET,49443,Michel A. Khalaf,,,,,,,,,Engineering,Syracuse,MBA,Syracuse,no,no,11/1/2019,yes via merger,,,,,,,
Prudential Financial,51,4,70934,7724,40916,Financials,Newark,NJ,no,no,no,yes,55,Charles F. Lowrey,www.prudential.com,PRU,35689,Charles F. Lowrey,,,,,,,,NJ,Architecture,Princeton,Architecture,Yale,no,no,11/1/2019,"yes, of internal subsidiary",MBA,Harvard,,,,,
Albertsons,52,0,69690,850,300000,Food & Drug Stores,Boise,ID,no,no,no,yes,52,Vivek Sankaran,www.albertsonscompanies.com,ACI,14087,Vivek Sankaran,5/3/1966,5/3/2023,11/1/1966,,,India,India,TX,Mechanical Engineering,IIT Chennai,MBA,"University of Michigan, Ann Arbor",no,no,11/1/2019,"yes, at external subsidiary",Industrial Engineering,Georgia Tech,,,Taurus,57,53
Walt Disney,53,-3,67418,1995,171000,Media,Burbank,CA,no,no,no,yes,50,Robert A. Chapek,www.thewaltdisneycompany.com,DIS,181438,Robert A. Chapek,8/21/1960,8/21/2023,11/1/1960,,Chicago,IL,IN,CA,Microbiology,Indiana University Bloomington,MBA,Michigan State,no,no,11/1/2020,no,,,,,Leo,63,60
Energy Transfer,54,27,67417,5470,12558,Energy,Dallas,TX,no,no,no,yes,81,Thomas E. Long,www.energytransfer.com,ET,32182,Thomas E. Long,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",Houston,TX,TX,,Accounting,Lamar University,no,no,no,no,11/1/2021,no,,,,,,66,64
Energy Transfer,54,27,67417,5470,12558,Energy,Dallas,TX,no,no,no,yes,81,Marshall S. McCrea III,www.energytransfer.com,ET,32182,Marshall S. McCrea III,1/1/1959,1/1/2023,11/1/1959,"MMDD missing, default to 1/1",,,TX,TX,Geology,"University of Texas, Dallas",JD,St. Mary's University,no,no,11/1/2021,no,,,,,,64,62
Lockheed Martin,55,-6,67044,6315,114000,Aerospace & Defense,Bethesda,MD,no,no,no,yes,49,James D. Taiclet Jr.,www.lockheedmartin.com,LMT,103510,James D. Taiclet Jr.,5/13/1960,5/13/2023,11/1/1960,,Pittsburgh,PA,PA,MD,Engineering and International Relations,US Air Force Academy,Public Affairs,Princeton,no,no,11/1/2020,yes,,,,,Taurus,63,60
Freddie Mac,56,-9,65898,12109,7301,Financials,McLean,VA,no,no,no,yes,47,Michael J. DeVito,www.freddiemac.com,FMCC,2055,Michael J. DeVito,,,,,,,,,Accounting,Ithaca,no,no,no,no,11/1/2021,no,,,,,,,
Goldman Sachs Group,57,2,64989,21635,43900,Financials,New York,NY,no,no,no,yes,59,David M. Solomon,www.goldmansachs.com,GS,113877,David M. Solomon,1/22/1962,1/22/2023,11/1/1962,,Hartsdale,NY,NY,NY,Political Science,Hamilton College,no,no,no,no,11/1/2018,no,,,,,Aquarius,61,56
Raytheon Technologies,58,-1,64388,3864,174000,Aerospace & Defense,Waltham,MA,no,no,no,yes,57,Gregory J. Hayes,www.rtx.com,RTX,139531,Gregory J. Hayes,11/19/1960,11/19/2023,11/1/1960,,,,NY,,Economics,Purdue,no,no,no,no,11/1/2020,yes,,,,,Scorpio,63,60
HP,59,-3,63487,6503,51000,Technology,Palo Alto,CA,no,no,no,yes,56,Enrique J. Lores,www.hp.com,HPQ,33951,Enrique J. Lores,5/10/1965,5/10/2023,11/1/1965,,Madrid,Spain,Spain,CA,Electrical Engineering,Polytechnic University of Valencia,MBA,ESADE Business School,no,no,11/1/2019,no,,,,,Taurus,58,54
Boeing,60,-6,62286,-4202,142000,Aerospace & Defense,Chicago,IL,no,no,no,no,54,David L. Calhoun,www.boeing.com,BA,92372,David L. Calhoun,4/18/1957,4/18/2023,11/1/1957,,Philadelphia,PA,PA,,Accounting,Virginia Tech,no,no,no,no,11/1/2020,yes,,,,,Aries,66,63
Morgan Stanley,61,0,61121,15034,74814,Financials,New York,NY,no,no,no,yes,61,James P. Gorman,www.morganstanley.com,MS,142829,James P. Gorman,7/14/1958,7/14/2023,11/1/1958,,Melbourne,Australia,Australia,NY,Law,University of Melbourne,MBA,Columbia,no,no,11/1/2010,no,,,,,Cancer,65,52
HCA Healthcare,62,0,58752,6956,244000,Health Care,Nashville,TN,no,no,no,yes,62,Samuel N. Hazen,www.hcahealthcare.com,HCA,52649,Samuel N. Hazen,,,,,,,,TN,Finance,University of Kentucky,MBA,"University of Nevada, Las Vegas",no,no,11/1/2019,no,,,,,,,
AbbVie,63,5,56197,11542,50000,Health Care,North Chicago,IL,no,no,no,yes,68,Richard A. Gonzalez,www.abbvie.com,ABBV,264607,Richard A. Gonzalez,1/21/1954,1/21/2023,11/1/1954,,,,,,Biochemistry,University of Houston,no,no,no,yes,11/1/2013,no,,,,,Aquarius,69,59
Dow,64,18,54968,6311,35700,Chemicals,Midland,MI,no,no,no,yes,82,James R. Fitterling,www.dow.com,DOW,38189,James R. Fitterling,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",,MO,MO,MI,Mechanical Engineering,"University of Missouri, Columbia",no,no,no,no,11/1/2018,"yes, of internal subsidiary",,,,,,61,56
Tesla,65,35,53823,5519,99290,Motor Vehicles & Parts,Austin,TX,no,yes,no,yes,100,Elon Musk,www.tesla.com,TSLA,763395,Elon Musk,6/28/1971,6/28/2023,11/1/1971,,Pretoria,South Africa,South Africa,,Economics and Physics,UPenn,no,Stanford,no,yes,11/1/2008,yes,,,,,Cancer,52,37
Allstate,66,4,53228,1599,54500,Financials,Northbrook,IL,no,no,no,yes,70,Thomas J. Wilson,www.allstate.com,ALL,33721,Thomas J. Wilson,,,,,St Clair Shores,MI,MI,IL,Business Administration,University of Michigan,MBA,Northwestern,no,no,11/1/2007,no,,,,,,,
American International Group,67,5,52057,9388,36600,Financials,New York,NY,no,no,no,yes,72,Peter S. Zaffino,www.aig.com,AIG,40988,Peter S. Zaffino,1/9/1967,1/9/2023,11/1/1967,,Greenwich,CT,,NY,Economics,Boston College,MBA,NYU,no,no,11/1/2021,yes,,,,,Capricorn,56,54
Best Buy,68,-2,51761,2454,81375,Retailing,Richfield,MN,no,no,yes,yes,66,Corie S. Barry,www.investors.bestbuy.com,BBY,17106,Corie S. Barry,1/1/1975,1/1/2023,11/1/1975,"MMDD missing, default to 1/1",Cambridge,MN,MN,MN,Accounting and Management,College of St Benedict,no,no,no,no,11/1/2019,no,,,,,,48,44
Charter Communications,69,-5,51682,4654,93700,Telecommunications,Stamford,CT,no,no,no,yes,64,Thomas M. Rutledge,www.charter.com,CHTR,89514,Thomas M. Rutledge,,,,,Scranton,PA,PA,,Economics,California University,no,no,no,no,11/1/2012,no,,,,,,,
Sysco,70,-10,51298,524,57710,Wholesalers,Houston,TX,no,no,no,yes,60,Kevin P. Hourican,www.sysco.com,SYY,44508,Kevin P. Hourican,,,,,,,,TX,Economics,Penn State,Supply Chain Management,Penn State,no,no,11/1/2020,no,,,,,,,
Merck,71,-6,51216,13049,67500,Health Care,Kenilworth,NJ,no,no,no,yes,65,Robert Davis,https://www.merck.com,MRK,218166,Robert Davis,,,,,,,,,Finance,Miami University,MBA,Northwestern,no,no,11/1/2021,no,JD,Northwestern,,,,,
